uid,PublishDate,Type,Title,Platforms,CSA,Objective,SourceCategory,Campaign,Status,Notes
item-0146-0f23149f,2026-05-19,Post,Build 预热视频,"WeChat Video, Douyin",AI Business Solutions,Conversion – Traffic,Local Creation,,Planned,Imported from 2026 MAY
item-0147-07204244,2026-05-20,Post,当年家里电脑最常见的画面,"WeChat Video, Douyin",AI Business Solutions,Awareness – Fan Building,Global Content Localization,,Planned,Imported from 2026 MAY
item-0148-6164512f,2026-05-21,Post,36Kr完整采访,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 MAY
item-0149-bef5a0f5,2026-05-21,Post,Surface announcement / 时间有可能调整到21/22日,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAY
item-0150-a670836f,2026-05-22,Post,AI Tour SH / Customer interview -OPPO,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 MAY
item-0151-fd3720b9,2026-05-22,Post,微软与苏州市战略合作 / TBD看审核结果,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAY
item-0152-575d6381,2026-05-25,Post,PR投稿,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAY
item-0153-aba9ec32,2026-05-25,Post,如何用Copilot in excel聪明的管理月度预算,"WeChat Video, Toutiao, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 MAY
item-0154-0b39100c,2026-05-26,Post,36K快剪,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 MAY
item-0155-0f85528c,2026-05-27,Post,AI有约-Yue Ma / 深度对谈,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAY
item-0156-fb4aac8c,2026-05-27,Post,OPE新书发布,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAY
item-0157-e0a9e517,2026-05-28,Post,SoftBank Customer Story,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 MAY
item-0158-6ccc0b35,2026-05-29,Post,Security Digest,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAY
item-0159-524c1371,2026-05-29,Post,TW自制copilot教学,WeChat Video,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 MAY
item-0160-64db8a77,2026-05-29,Post,当上司走进了撞见你们开小差......,Douyin,AI Business Solutions,Awareness – Fan Building,Global Content Localization,,Planned,Imported from 2026 MAY
item-0161-caf9c1a9,2026-06-01,Campaign,儿童节,,Others,Awareness – Broad Reach,Local Stakeholder,儿童节,Planned,Campaign/event imported from FY27 Operation Calendar 2026-06
item-0162-25927f09,2026-06-01,Post,你是哪种开发者？,Douyin,AI Business Solutions,Conversion – Traffic,Global Content Localization,,Planned,Imported from 2026 JUN
item-0163-30ab3be6,2026-06-02,Campaign,Build,,Others,Awareness – Broad Reach,Local Stakeholder,Build,Planned,Campaign/event imported from FY27 Operation Calendar 2026-06
item-0164-740cdb40,2026-06-02,Post,OPE新书发布,WeChat Video,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUN
item-0165-1be4a639,2026-06-03,Campaign,Build,,Others,Awareness – Broad Reach,Local Stakeholder,Build,Planned,Campaign/event imported from FY27 Operation Calendar 2026-06
item-0166-5965b6ef,2026-06-03,Post,Build发布,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JUN
item-0167-2e31d341,2026-06-04,Post,Surface最新发布 × NVIDIA,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JUN
item-0168-c0802271,2026-06-04,Post,What do you want to build today?,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUN
item-0169-4f350925,2026-06-05,Post,GIVE京西水源地环境日活动,WeChat Video,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JUN
item-0170-798cf585,2026-06-08,Post,Build - 卢老师解读,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUN
item-0171-45ae596a,2026-06-08,Post,Build总结 - 5大发布,"WeChat, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUN
item-0172-4f60cb3a,2026-06-08,Post,Introducing Majorana 2 - YouTube,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0173-f4cba0aa,2026-06-09,Post,AI有约-JoyMe / 客户对谈,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JUN
item-0174-59881d7e,2026-06-09,Post,AI有约-JoyMe / 客户对谈 / 完整版30min,Bilibili,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JUN
item-0175-ec4ba285,2026-06-09,Post,Autopilots: Satya Nadella at Microsoft Build 2026 / 10号发布,Toutiao,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0176-a4e8b641,2026-06-09,Post,Satya 2min recap,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUN
item-0177-03603d5c,2026-06-09,Post,Surface announcement / 每周一款，小绿书,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0178-f5ae65f9,2026-06-10,Post,Autopilots: Satya Nadella at Microsoft Build 2025,Douyin,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0179-d6172126,2026-06-10,Post,Autopilots: Satya Nadella at Microsoft Build 2026,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUN
item-0180-a5a20368,2026-06-10,Post,Conversation with NVIDIA Founder and CEO Jensen Huang: Satya Nadella at Microsoft Build 2026,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0181-f9e6350a,2026-06-10,Post,"New MAI models in Microsoft Foundry across text, image, voice, and speech / 转载 - Azure",WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0182-2964f3de,2026-06-11,Post,Bing世界杯开幕,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUN
item-0183-fbda3c64,2026-06-12,Post,Project Solara: A new vision for agent-first computing,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUN
item-0184-38201361,2026-06-12,Post,Surface Ultra,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUN
item-0185-333966b5,2026-06-15,Post,AI Tour SH / Customer interview -Fuzozo,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0186-111e0a5f,2026-06-15,Post,Bing高考 / Pending,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUN
item-0187-4c098213,2026-06-16,Campaign,Surface,,Others,Awareness – Broad Reach,Local Stakeholder,Surface,Planned,Campaign/event imported from FY27 Operation Calendar 2026-06
item-0188-b8e8fc0d,2026-06-16,Post,如何用Copilot在outlook中管理邮件,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JUN
item-0189-93a31d7d,2026-06-17,Post,AI Tour SH / Customer interview -联想,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0190-942e506c,2026-06-17,Post,Surface announcement,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0191-f7e7529a,2026-06-17,Post,Surface announcement / -PR,Toutiao,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0192-d71beb2a,2026-06-18,Post,端午节,"WeChat Video, Douyin",AI Business Solutions,Awareness – Fan Building,Local Creation,,Planned,Imported from 2026 JUN
item-0193-81ecb313,2026-06-18,Post,端午节 海报,Bilibili,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 JUN
item-0194-cca09761,2026-06-19,Campaign,端午节,,Others,Awareness – Broad Reach,Local Stakeholder,端午节,Planned,Campaign/event imported from FY27 Operation Calendar 2026-06
item-0195-c0578819,2026-06-21,Campaign,父亲节,,Others,Awareness – Broad Reach,Local Stakeholder,父亲节,Planned,Campaign/event imported from FY27 Operation Calendar 2026-06
item-0196-e2ecff47,2026-06-22,Post,2026 Work Trend Index Annual Report: 5 AI Thought Leaders on the Future of Work,"WeChat Video, Toutiao, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUN
item-0197-5ca8a622,2026-06-22,Post,Surface announcement / 第二款,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0198-0f8c8c52,2026-06-23,Post,WTI,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0199-688ba818,2026-06-24,Post,AI Tour SH / Customer interview -复星医药,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0200-48acd205,2026-06-24,Post,WTI- 赛跑,"WeChat, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0201-f8cf644e,2026-06-25,Post,AI有约-Com&Lan / 客户对谈,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JUN
item-0202-03f27afa,2026-06-25,Post,Surface announcement / 第三款,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0203-32de120c,2026-06-26,Post,Rick解读WTI-1,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0204-7517cc26,2026-06-26,Post,WTI- 赛跑 / B test,Douyin,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUN
item-0205-97a957cc,2026-06-29,Post,How to Proofread with Copilot in Word | Microsoft 365,"WeChat Video, Toutiao",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JUN
item-0206-3ea49c2e,2026-06-30,Post,Hertz Customer Story,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUN
item-0207-6f61826d,2026-06-30,Post,Meet Copilot Cowork,"WeChat Video, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUN
item-0208-0b2f9bf1,2026-07-01,Post,6月素材 Email Anxiety 1&3,Douyin,AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JUL
item-0209-e9dba0be,2026-07-02,Post,6月素材 Yappers,Douyin,AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JUL
item-0210-5e1f60b4,2026-07-02,Post,Surface announcement - 5月第一波开售,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUL
item-0211-0ae0879f,2026-07-03,Post,WTI-Global vs Local,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JUL
item-0212-7c22ae48,2026-07-06,Post,6月素材 X Factor,Douyin,AI Business Solutions,Awareness – Fan Building,Global Content Localization,,Planned,Imported from 2026 JUL
item-0213-75b59ce5,2026-07-06,Post,Surface announcement - 第一款,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUL
item-0214-53d09769,2026-07-06,Post,Turns out a year’s worth of data doesn’t have to take a year to sort through. Copilot Cowork makes it easier.,"WeChat Video, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JUL
item-0215-897bcd1b,2026-07-07,Campaign,暂停,,Others,Awareness – Broad Reach,Local Stakeholder,暂停,Planned,Campaign/event imported from FY27 Operation Calendar 2026-07
item-0216-ed03acb3,2026-07-08,Campaign,暂停,,Others,Awareness – Broad Reach,Local Stakeholder,暂停,Planned,Campaign/event imported from FY27 Operation Calendar 2026-07
item-0217-79cc170a,2026-07-09,Post,Engagement- 跟 AI 共事一年后，它会怎么画你？,"WeChat, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JUL
item-0218-9ac24adc,2026-07-10,Post,Surface announcement -第二款,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUL
item-0219-1b075b4e,2026-07-13,Post,"All you have to do is delegate. / Let Copilot Cowork handle the research, the reports, and the heavy lifting.",Douyin,AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JUL
item-0220-9ac71ab7,2026-07-13,Post,Rick解读WTI-2,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUL
item-0221-57e2d96e,2026-07-13,Post,Using AI at work: A practical 90-day guide | Microsoft Signal Blog | Microsoft,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUL
item-0222-be4953c7,2026-07-14,Post,"All you have to do is delegate. / Let Copilot Cowork handle the research, the reports, and the heavy lifting.","WeChat Video, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JUL
item-0223-39d05ebe,2026-07-14,Post,Data Hurts,Douyin,AI Business Solutions,Awareness – Fan Building,Global Content Localization,,Planned,Imported from 2026 JUL
item-0224-680b93d6,2026-07-14,Post,Surface announcement - 开售,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JUL
item-0225-a60c7287,2026-07-14,Post,Using AI at work: A practical 90-day guide | Microsoft Signal Blog | Microsoft,Douyin,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUL
item-0226-f262e4a0,2026-07-15,Post,5 Ways to Use Copilot in Outlook | Microsoft 365,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JUL
item-0227-2b2f2b40,2026-07-15,Post,Excel Training,Douyin,AI Business Solutions,Awareness – Fan Building,Global Content Localization,,Planned,Imported from 2026 JUL
item-0228-f5ec17a1,2026-07-16,Campaign,M365发布 What's New in Copilot,,Others,Awareness – Broad Reach,Local Stakeholder,M365发布 What's New in Copilot,Planned,Campaign/event imported from FY27 Operation Calendar 2026-07
item-0229-6d545f80,2026-07-16,Post,Engagement- 上台阶,"WeChat, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUL
item-0230-673e9be1,2026-07-16,Post,Hank's Pizza / BAR,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUL
item-0231-eac7f828,2026-07-17,Post,Copilot / 日常工作技巧 - 世界杯,"WeChat, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUL
item-0232-0f822f8d,2026-07-17,Post,Some Teams statuses hit harder than others,Douyin,AI Business Solutions,Awareness – Fan Building,Global Content Localization,,Planned,Imported from 2026 JUL
item-0233-e0742e59,2026-07-20,Post,FTW-Speaker Carousel,"WeChat, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUL
item-0234-b58f6d27,2026-07-21,Post,Inside Porsche Cup Brasil’s AI-powered race operations,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUL
item-0235-cd484943,2026-07-21,Post,Inside Porsche Cup Brasil’s AI-powered race operations / 多图,Douyin,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUL
item-0236-f1f468d5,2026-07-22,Post,Build a Profit and Loss Statement in Excel (Beginner Friendly) | Microsoft 365 - YouTube,"WeChat Video, Toutiao, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JUL
item-0237-3418b5c8,2026-07-22,Post,Workflow,Douyin,AI Business Solutions,Awareness – Fan Building,Local Creation,,Planned,Imported from 2026 JUL
item-0238-aab9b317,2026-07-23,Post,ABB Customer Story,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUL
item-0239-3dbdb6cf,2026-07-23,Post,Let's see Copilot make those doodles though,Douyin,AI Business Solutions,Awareness – Fan Building,Local Creation,,Planned,Imported from 2026 JUL
item-0240-c294dcfc,2026-07-24,Post,Engagement- 结局反转-Cowork让复杂的工作变简单,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUL
item-0241-6d783ac3,2026-07-24,Post,Try this,Douyin,AI Business Solutions,Awareness – Fan Building,Local Creation,,Planned,Imported from 2026 JUL
item-0242-30df92dc,2026-07-28,Post,FTW：Leader Video,WeChat Video,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUL
item-0243-a380f084,2026-07-28,Post,MSRA投稿-微软张祺出席 2026 年 APEC 数智赋能高级别对话,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JUL
item-0244-df2c56ce,2026-07-28,Post,"The real workplace horror isn’t the workload, it’s hearing a Teams notification at 4:59pm. 😂",Douyin,AI Business Solutions,Awareness – Fan Building,Local Creation,,Planned,Imported from 2026 JUL
item-0245-42bfc173,2026-07-29,Campaign,M365发布 What's New in Copilot,,Others,Awareness – Broad Reach,Local Stakeholder,M365发布 What's New in Copilot,Planned,Campaign/event imported from FY27 Operation Calendar 2026-07
item-0246-17b9fb9e,2026-07-29,Post,5 Copilot in Excel Tips to Try Today,"WeChat Video, Toutiao, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JUL
item-0247-42c0d681,2026-07-29,Post,华映资本×微软- 孵化器,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUL
item-0248-6d90fba5,2026-07-30,Post,AI @ Work / The AI you don't notice is the AI that's working,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JUL
item-0249-1f9dd2b3,2026-07-31,Post,Engagement-POV：当我给AI布置工作时,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JUL
item-0250-edd60f93,2026-08-03,Post,Write Website Copy with Copilot in Word,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 AUG
item-0251-be983501,2026-08-04,Post,"Andy Doyle on AI at scale: How Kantar unlocked 15,000 agents","WeChat, Toutiao",AI Business Solutions,Awareness – Broad Reach,Global Content Localization,,Planned,Imported from 2026 AUG
item-0252-44334c88,2026-08-05,Post,Analyze Data in Seconds,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 AUG
item-0253-8bc58026,2026-08-05,Post,Copilot/Agent / 专栏 - chat cowork agent多图,"WeChat, Douyin",AI Business Solutions,Awareness – Broad Reach,Local Creation,,Planned,Imported from 2026 AUG
item-0254-c7a0a3d4,2026-08-06,Post,Stellantis accelerates AI-led strategy and digital transformation through strategic collaboration with Microsoft to enhance customer experiences,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 AUG
item-0255-6103a8af,2026-08-06,Post,Top 5 Ways to use Copilot in PPT,Douyin,AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 AUG
item-0256-fc8b905a,2026-08-07,Post,Engagement - BDMs用AI,"WeChat Video, Douyin",AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 AUG
item-0257-51345136,2026-08-10,Post,2个tips教你怎么让excel中的copilot更个性化,"WeChat Video, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 AUG
item-0258-a474301a,2026-08-11,Post,Aurora 1.5: Extending open foundation models for weather and Earth-system applications,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad Reach,Global Content Localization,,Planned,Imported from 2026 AUG
item-0259-cb71dfb2,2026-08-11,Post,Aurora 1.5: Extending open foundation models for weather and Earth-system applications / 文字转图片,Douyin,AI Business Solutions,Awareness – Broad Reach,Global Content Localization,,Planned,Imported from 2026 AUG
item-0260-0e8baff8,2026-08-12,Post,Copilot Skilling season3： / 第二期,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 AUG
item-0261-df52959f,2026-08-12,Post,Copilot/Agent / 专栏 - outlook邮件撰写三人格,"WeChat, Douyin",AI Business Solutions,Awareness – Broad Reach,Local Creation,,Planned,Imported from 2026 AUG
item-0262-ce9de0dd,2026-08-13,Post,Bad day? Copilot has entered the chat.,Douyin,AI Business Solutions,Awareness – Fan Building,Local Creation,,Planned,Imported from 2026 AUG
item-0263-aa7f2253,2026-08-13,Post,Top 5 Ways to use Copilot in Word,Douyin,AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 AUG
item-0264-503d4904,2026-08-14,Post,Engagement - PPT等级,"WeChat Video, Douyin",AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 AUG
item-0265-65e3be3a,2026-08-17,Post,FTW-会后金句总结,WeChat,AI Business Solutions,Awareness – Broad Reach,Local Creation,,Planned,Imported from 2026 AUG
item-0266-a3588bb9,2026-08-17,Post,copilot in excel竟能教你十字绣,Douyin,AI Business Solutions,Awareness – Fan Building,Global Content Localization,,Planned,Imported from 2026 AUG
item-0267-38b3c19c,2026-08-19,Campaign,M365发布 4 W‘s of work,,Others,Awareness – Broad Reach,Local Stakeholder,M365发布 4 W‘s of work,Planned,Campaign/event imported from FY27 Operation Calendar 2026-08
item-0268-89aeaee4,2026-08-19,Post,What They Do,"WeChat, Douyin",AI Business Solutions,Awareness – Broad Reach,Global Content Localization,,Planned,Imported from 2026 AUG
item-0269-e093195d,2026-08-20,Post,Create a Moving Checklist with Copilot,"WeChat Video, Toutiao, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 AUG
item-0270-afe26a2e,2026-08-21,Post,Engagement - 同事的5分钟,Douyin,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 AUG
item-0271-a9ba0fef,2026-08-24,Post,How Commonwealth Bank and Microsoft are reimagining the future of customer service,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad Reach,Global Content Localization,,Planned,Imported from 2026 AUG
